Tender,Company,Procurement,Notice,Location,Closing,Value,Date
FIRE DAMPERS,Derbyshire Support & Facilities Services,  Opportunity,  Open,  S44 5BL,"  30 April 2024,  5pm","  £22,500",  23 April 2024
Acquisition of Heavy Goods and Specialist Vehicles,THE ASSOCIATION OF NORTH EAST COUNCILS LIMITED,  Future opportunity,  Open,  United Kingdom,Approach to market date 17 May 2024,"  £100,000,000","  22 April 2024, last edited 23 April 2024"
Managed Remarketing of Vehicles and Plant,THE ASSOCIATION OF NORTH EAST COUNCILS LIMITED,  Future opportunity,  Open,  United Kingdom,Approach to market date 17 May 2024,"  £1,400,000","  22 April 2024, last edited 23 April 2024"
NCD323 - Roof Replacement,New College Durham,  Opportunity,  Open,  United Kingdom,"  21 May 2024, 12pm","  £300,000","  18 April 2024, last edited 23 April 2024"
"project_11049 - JAMAICA - Electrical and Fire Safety - 23/24 Kingston, Jamaica",FCDO Services,  Opportunity,  Open,  MK19 7BH,"  31 May 2024, 10am","  £500,000",  23 April 2024
Implementation Support for Cheshire and Warrington Fair Employment Charter,CHESHIRE & WARRINGTON LOCAL ENTERPRISE PARTNERSHIP,  Opportunity,  Open,  North West,"   7 May 2024,  4pm","  £30,000 to £45,000",  23 April 2024
WCC Road Weather Stations,Warwickshire County Council,  Opportunity,  Open,  West Midlands,"  24 May 2024, 12pm","  £860,000",  23 April 2024
Pavilion Extension and Refurbishment,Bramhope & Carlton Parish Council,  Future opportunity,  Open,  LS16 9AZ,Approach to market date 31 May 2024,"  £150,000",  23 April 2024
Tenant Satisfaction Measures Survey,West Lancashire Borough Council,  Opportunity,  Open,  England,"  21 May 2024,  4pm","  £15,000",  23 April 2024
West of England Imaging Network - Imaging Framework,BRISTOL & WESTON NHS PURCHASING CONSORTIUM,  Future opportunity,  Open,  South West,Approach to market date 15 May 2024,"  £15,000,000","  13 March 2024, last edited 23 April 2024"
Carmel College ~ Building and Maintenance Services,Carmel College,  Opportunity,  Open,  North West,"  17 May 2024, 12pm","  £560,000",  23 April 2024
CA13962 - Tender 03/2024 - Vehicle Hire Framework,"Newry, Mourne and Down District Council (NMD)",  Opportunity,  Open,  BT35 8DJ,"  23 May 2024, 12pm","  £350,000",  23 April 2024
Annual playground equipment inspection,North Petherton Town Council,  Opportunity,  Open,  TA6,"   6 May 2024, 12pm","  £1,000","  18 April 2024, last edited 23 April 2024"
Prior Information Notice for Healthwatch Service,Worcestershire County Council,  Future opportunity,  Open,  West Midlands,Approach to market date  5 June 2024,"  £990,000",  23 April 2024
Wound Closure 2024,NHS Supply Chain,  Future opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",Approach to market date 22 October 2024,"  £25,000,000 to £29,000,000",  23 April 2024
EPP0014 - Active Outdoor Gym,Essex County Council,  Opportunity,  Open,  England,"  24 May 2024, 12pm","  £65,000",  23 April 2024
Housing Adaptation Service - Contractors' Framework,London Borough of Hounslow,  Opportunity,  Open,  England,"  14 May 2024, 12pm","  £7,720,000 to £16,000,000","  27 March 2024, last edited 23 April 2024"
Design & Build - Waterbeach Railway Station,Cambridgeshire County Council,  Opportunity,  Open,  England,"  23 August 2024, 12pm","  £20,000,000 to £30,000,000","   2 April 2024, last edited 23 April 2024"
GB-Leeds: PE2023-24/3855 Accessibility improvement works to existing doors Across several buildings at University of Leeds campus.,University of Leeds,  Opportunity,  Open,  Yorkshire and the Humber,"  13 May 2024, 12pm","  £25,000 to £50,000",  23 April 2024
"e-Invitation to tender (e-ITT) for the provision of: Upgrading Course Park Crescent, Laurel Gardens and Elsanta Crescent play areas-Fareham Borough",Fareham Borough Council,  Opportunity,  Open,  PO16 7AZ,"  24 May 2024, 12pm","  £95,000",  23 April 2024
PAN3023 - Construction of Hill View Children's Home - Blackmore Drive Leicester LE3 1LQ,Leicester City Council,  Opportunity,  Open,  England,"  23 May 2024, 12pm","  £1,350,000","  22 April 2024, last edited 23 April 2024"
Lake District National Park Authority (C to C National Trail Improvements- Ennerdale),The Lake District National Park,  Opportunity,  Open,  North West,"  31 May 2024, 12pm","  £50,000 to £100,000",  23 April 2024
Demolition of of Various Council Properties,Bolsover District Council,  Opportunity,  Open,  S42 6NG,"  30 May 2024, 12pm",  £0,  23 April 2024
CA13960 -  Invitation to tender for the provision of a shuttle bus service between West Suffolk NHS Foundation Trust and Bury Rugby Club,West Suffolk NHS Foundation Trust,  Opportunity,  Open,  IP33 2QZ,"  21 May 2024, 12pm",  £0,  23 April 2024
A417 Missing Link - Surface & Ground Water Monitoring,KIER TRANSPORTATION LIMITED,  Opportunity,  Open,  South West,"  10 May 2024,  5pm","  £50,000",  23 April 2024
Air Handling Unit Verification and remedial works,Salisbury NHS FT,  Opportunity,  Open,  SP2 8BJ,"  23 May 2024, 12pm","  £150,000",  23 April 2024
Retrofit Coordination and Design Service,Flagship Housing Group,  Opportunity,  Open,  East of England,"  24 May 2024,  2pm","  £200,000","  19 April 2024, last edited 23 April 2024"
CRIS System,University of Reading,  Opportunity,  Open,  RG6 6UR,"  22 May 2024, 12pm","  £600,000 to £700,000","  23 April 2024, last edited 23 April 2024"
Luton School - New Nursery Building Works,Medway Council,  Opportunity,  Open,  England,"  17 May 2024, 12pm","  £400,000",  23 April 2024
Workplace Services 2027 - PIN,Nuclear Restoration Services Ltd,  Early engagement,  Open,  TN28 8LS,  28 May 2024,Publication date 23 April 2024,None
CHIC KITCHENS AND BATHROOMS FRAMEWORK 2024-28,Communities and Housing Investment Consortium Limited,  Opportunity,  Open,  B18 6DS,"  28 May 2024,  3pm","  £90,000,000",  23 April 2024
RA341133 - Please quote for the below equipment,Sandwell West Birmingham Hospitals NHS Trust,  Opportunity,  Open,  B18 7QH,"  30 April 2024,  3:30pm",  £0,  23 April 2024
Ashford UKSPF People and Skills Programme,Ashford Borough Council,  Opportunity,  Open,  TN24 1PL,"  21 May 2024, 10am","  £200,000",  22 April 2024
"Preliminary Market Engagement - Bassett Centre Refurbishment, Camborne,  Cornwall",Camborne Town Council,  Early engagement,  Open,  South West,  16 May 2024,"Publication date  8 April 2024, last edited 22 April 2024",None
Non-Housing Drainage,Leeds City Council,  Opportunity,  Open,  Yorkshire and the Humber,"  20 May 2024, 12pm",  £0,  22 April 2024
Retail Sandwiches & Associated Products,Falmouth Exeter Plus,  Opportunity,  Open,  TR109FE,"   6 June 2024, 12pm","  £240,000",  22 April 2024
Croydon College Window Replacement Works,Croydon College,  Opportunity,  Open,  CR9 1DX,"  20 May 2024,  5pm","  £150,000 to £180,000","  17 April 2024, last edited 22 April 2024"
External Audit,General Medical Council (GMC),  Opportunity,  Open,  Any region,"  28 May 2024, 12pm",  £0,  22 April 2024
Recycle Right Contamination Campaign 24-25,Merseyside Waste Disposal Authority,  Opportunity,  Open,  North West,"  21 May 2024,  5pm","  £0 to £60,000",  22 April 2024
Dynamic Purchasing System: Older Adults (65+) Residential & Nursing Placements,London Borough of Ealing,  Opportunity,  Open,  W5 2HL,"  22 May 2024, 12am","  £3,400,000,000","  22 April 2024, last edited 22 April 2024"
Archaeological Services,City of York Council,  Opportunity,  Open,  Yorkshire and the Humber,"  22 May 2024, 12pm","  £400,000",  22 April 2024
Berry Hill Stabilisation Works,Nottinghamshire County Council,  Opportunity,  Open,  East Midlands,"   3 June 2024, 12pm","  £1,000,000",  22 April 2024
Recovery and Wellbeing Service - RFI,NORTH OF ENGLAND COMMISSIONING SUPPORT,  Early engagement,  Open,  North East,   7 May 2024,Publication date 22 April 2024,None
Market Engagement - Bowel Cancer Screening Programme Managed Service,NHS England,  Early engagement,  Open,  LS2 7UE,  10 May 2024,Publication date 22 April 2024,None
CF - OPPORTUNITY - Procurement of 1 UV Laser Writer for Maskless Lithography,University of Bristol,  Opportunity,  Open,  South West,"  23 May 2024,  1pm","  £206,000",  22 April 2024
CA13896 - Market Engagement - Data Quality & Migration Partner Unified Electronic Patient Record,MSE Group,  Early engagement,  Open,  SS2 6GE,  22 July 2024,"Publication date  9 April 2024, last edited 22 April 2024",None
GB-Bedfordshire: Engagement Event July 2024 - Catering,Bedfordshire Hospitals NHS Foundation Trust,  Opportunity,  Open,  East of England,"  13 May 2024, 12pm","  £50,000 to £100,000",  22 April 2024
Dashboard and clinical portal maintenance for CYP CEW Clinics,NHS England,  Opportunity,  Open,  LS1 4AJ,"   7 May 2024, 12pm","  £1,250,000","   5 April 2024, last edited 22 April 2024"
Market research exercise for a Security Integrator partnership,Liverpool John Moores University,  Early engagement,  Open,  L2 2QP,   8 May 2024,Publication date 22 April 2024,None
Autoclaves,UNIVERSITY OF DERBY,  Opportunity,  Open,  East Midlands,"  17 May 2024, 12pm","  £149,000","  22 April 2024, last edited 22 April 2024"
Cryostat,UNIVERSITY OF DERBY,  Opportunity,  Open,  East Midlands,"  17 May 2024, 12pm","  £57,000",  22 April 2024
Tennyson Learning Community Multi Academy Trust ~ Catering Tender,Tennyson Learning Community Multi Academy Trust,  Opportunity,  Open,  East of England,"  17 May 2024, 12pm","  £1,318,250",  22 April 2024
2250/ITTO/SC  Cryogenic Electric Propulsion Facility,The University of Nottingham,  Opportunity,  Open,  NG7 2RN,"  31 May 2024, 12pm","  £3,000,000 to £6,000,000",  22 April 2024
Guardian Class 2 Biological Safety Cabernets,UNIVERSITY OF DERBY,  Opportunity,  Open,  East Midlands,"  17 May 2024, 12pm","  £81,000",  22 April 2024
Hoveton Riverside Park - Piling Project,Broads Authority,  Opportunity,  Open,  NR12 8UR,"   7 June 2024,  4pm","  £150,000 to £250,000",  22 April 2024
PL0079 Electric Vehicle Charging Infrastructure Market Engagement - LEVI Fund,Essex County Council,  Early engagement,  Open,  England,   3 May 2024,"Publication date 22 April 2024, last edited 22 April 2024",None
"The Regal, Wallingford, Oxfordshire - feasibility review",Wallingford Town Council,  Opportunity,  Open,  OX10 8DL,"  24 May 2024, 11:59pm","  £25,000","  19 April 2024, last edited 22 April 2024"
TRP PRINCIPAL CONTRACTOR TENDER FOR BWP02: WOLFE CATERING KIOSK AND FURNITURE STORE,The Royal Parks Ltd,  Opportunity,  Open,  London,"  15 May 2024, 12am","  £500,000",  22 April 2024
GANTRY WORKS AT CITY HALL,Transport for London,  Future opportunity,  Open,  London,Approach to market date 20 May 2024,"  £80,000 to £250,000",  22 April 2024
STDL-PROC-0088 - Office Cleaning,South Tees Developments Limited,  Opportunity,  Open,  England,"  22 May 2024,  5pm","  £305,000",  22 April 2024
Extrusion side-stream rheometer,The University of Warwick,  Opportunity,  Open,  CV4 7AL,"  22 May 2024, 12pm","  £0 to £80,000",  22 April 2024
Provision of Domestic Appliances,ROOFTOP HOUSING GROUP LIMITED,  Opportunity,  Open,  West Midlands,"  13 May 2024, 12pm","  £200,000 to £400,000","  10 April 2024, last edited 22 April 2024"
GSS23744 - UK Research and Innovation: Molecular Biology and Laboratory Chemicals Framework,UK SHARED BUSINESS SERVICES LIMITED,  Opportunity,  Open,  United Kingdom,"  20 May 2024, 11am","  £16,000,000","  28 March 2024, last edited 22 April 2024"
External Evaluation of Sunderland's UK Shared Prosperity Fund and Multiply Programmes,Sunderland City Council,  Opportunity,  Open,  England,"  13 May 2024, 12pm",  £0,  22 April 2024
Multiply Intervention I,East Riding of Yorkshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"   7 May 2024, 12pm","  £168,875",  22 April 2024
CA13956 - Window Cleaning Service,West Suffolk NHS Foundation Trust,  Opportunity,  Open,  IP33 2QZ,"  13 May 2024, 12pm",  £0,  22 April 2024
Leisure Service Marketing Project,Stroud District Council,  Opportunity,  Open,  England,"   9 May 2024,  5pm","  £162,000",  22 April 2024
Lift Servicing and Maintenance Services covering Full Comprehensive Preventative Maintenance and Related Procedures,Halton Borough Council,  Opportunity,  Open,  England,"  23 May 2024,  1pm","  £200,000",  22 April 2024
UKRI-3968 Fast AWG ( Arbitrary Waveform Generator),UK Research & Innovation,  Opportunity,  Open,  South East,"   3 June 2024,  2pm","  £135,000",  22 April 2024
Self-powered Wood Chipper,Prenn Landscapes,  Opportunity,  Open,  South West,"  14 May 2024,  5pm","  £35,000 to £42,000",  22 April 2024
GB-Leeds: SB732 Passive Fire Protection,Leeds Beckett University,  Opportunity,  Open,  Yorkshire and the Humber,"  13 May 2024, 12pm","  £50,000 to £100,000",  22 April 2024
CA13580 - Salford City College - Student Transport Services,Salford City College,  Opportunity,  Open,  M28 7QD,"   3 May 2024,  4pm",  £0,"  12 February 2024, last edited 22 April 2024"
GB-Basildon: General Business Support Tender  Re- procurement,Basildon  Borough Council,  Opportunity,  Open,  East of England,"   9 May 2024, 12am","  £50,000 to £100,000",  22 April 2024
Tender for the Provision of Respite Services for the Care Agency (Light Touch Regime),GOVERNMENT OF GIBRALTAR,  Opportunity,  Open,  Gibraltar,"  13 May 2024, 12pm","  £400,000 to £450,000",  22 April 2024
Tender for the Provision of Domiciliary and Home Support Services for the Care Agency (Light Touch Regime),GOVERNMENT OF GIBRALTAR,  Opportunity,  Open,  Gibraltar,"  13 May 2024, 12pm","  £10,500,000 to £12,000,000",  22 April 2024
Workplace adjustments 2024,London Borough of Hammersmith & Fulham,  Opportunity,  Open,  W6 9JU,"  27 May 2024,  5pm","  £290,000",  22 April 2024
NPCC Counter Drones next generation RF Effector Framework Agreement,Home Office,  Opportunity,  Open,  Any region,"  23 May 2024, 12pm","  £5,000,000",  22 April 2024
Onward Fire Safety - Reactive & Passive Framework,Onward Homes,  Opportunity,  Open,  M21 7QY,"  22 May 2024, 12:01pm","  £3,000,000 to £5,000,000",  22 April 2024
Soft Market Test - Christmas Offer,Peterborough City Council,  Early engagement,  Open,  England,   6 May 2024,Publication date 22 April 2024,None
"Works Contractor for the Redevelopment of the High Commissioner's Residence, Abuja, Nigeria",Foreign Commonwealth and Development Office,  Early engagement,  Open,  SW1A 2AH,  10 May 2024,Publication date 22 April 2024,None
RFI0036 - Physical Training Facilities Management and Physical Training Services,Ministry of Defence,  Early engagement,  Open,  Any region,  20 May 2024,"Publication date 22 April 2024, last edited 22 April 2024",None
Online ticketing store,National Maritime Museum,  Opportunity,  Open,  London,"  27 May 2024, 12pm","  £150,000",  22 April 2024
"CA13947 - DN College Group, Contract for Managed Procurement Services",Doncaster College,  Opportunity,  Open,  DN1 2RF,"  30 May 2024, 12pm","  £400,000",  22 April 2024
CEX23025 WLA Review of West London Waste Plan -,London Borough of Ealing,  Opportunity,  Open,  W5 2HL,"  28 May 2024, 12pm","  £450,000",  22 April 2024
Lease of Scrubber/Dryer for Darley Street  Market,City of Bradford Metropolitan District Council,  Opportunity,  Open,  Yorkshire and the Humber,"  21 May 2024,  5pm",  £0,  22 April 2024
North West Leadership Academy - Leadership Development - DPS,The North West Leadership Academy hosted by Blackpool Teaching Hospitals NHS Foundation Trust,  Opportunity,  Open,  North West,"  21 May 2024,  1pm","  £12,000,000",  22 April 2024
CBC-1671-T-TS Groundworks - Hard and Soft Landscaping,Central Bedfordshire Council,  Opportunity,  Open,  SG17 5TQ,"  17 May 2024, 11am",  £0,  22 April 2024
2024_Well-being - UK Occupational Health (OH) and Pre-Placement Questionnaire (PPQ) services for the British Council,British Council,  Opportunity,  Open,  E20 1JQ,"  13 May 2024, 10am","  £45,000 to £60,000",  22 April 2024
